startedAt;percentage_prod;percentage_prod;percentage_prod;percentage_prod;valueprod;valueprod;valueprod;valueprod;total_sum_prod
;df-prod-Gaby;df-prod-Marc;df-prod-Pit;df-prod-Véronique;df-prod-Gaby;df-prod-Marc;df-prod-Pit;df-prod-Véronique;
2025-07-01 00:00:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 00:15:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 00:30:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 00:45:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.004;0.0;0.004
2025-07-01 01:00:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 01:15:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 01:30:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 01:45:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 02:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.004;0.0;0.004
2025-07-01 02:15:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 02:30:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 02:45:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 03:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.004;0.0;0.004
2025-07-01 03:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.004;0.0;0.004
2025-07-01 03:30:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 03:45:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 04:00:00+00:00;;;;;0.0;0.0;0.0;0.0;0.0
2025-07-01 04:15:00+00:00;0.0;0.0;7.692;92.308;0.0;0.0;0.004;0.048;0.052000000000000005
2025-07-01 04:30:00+00:00;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.212;0.212
2025-07-01 04:45:00+00:00;0.0;0.0;0.671;99.329;0.0;0.0;0.004;0.592;0.596
2025-07-01 05:00:00+00:00;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.708;0.708
2025-07-01 05:15:00+00:00;0.0;0.0;0.0;100.0;0.0;0.0;0.0;1.264;1.264
2025-07-01 05:30:00+00:00;0.0;0.0;0.0;100.0;0.0;0.0;0.0;1.384;1.384
2025-07-01 05:45:00+00:00;0.0;1.555;44.737;53.708;0.0;0.013;0.374;0.449;0.8360000000000001
2025-07-01 06:00:00+00:00;0.0;0.352;59.742;39.906;0.0;0.003;0.509;0.34;0.8520000000000001
2025-07-01 06:15:00+00:00;2.464;1.551;57.117;38.869;0.027;0.017;0.626;0.426;1.096
2025-07-01 06:30:00+00:00;9.0;1.182;52.273;37.545;0.099;0.013;0.575;0.413;1.1
2025-07-01 06:45:00+00:00;12.045;1.822;49.798;36.336;0.119;0.018;0.492;0.359;0.988
2025-07-01 07:00:00+00:00;15.77;1.235;47.747;35.247;0.217;0.017;0.657;0.485;1.376
2025-07-01 07:15:00+00:00;20.233;1.977;44.186;33.605;0.174;0.017;0.38;0.289;0.86
2025-07-01 07:30:00+00:00;19.478;1.119;45.896;33.507;0.261;0.015;0.615;0.449;1.34
2025-07-01 07:45:00+00:00;22.81;0.456;42.883;33.85;0.25;0.005;0.47;0.371;1.096
2025-07-01 08:00:00+00:00;26.245;0.239;41.762;31.753;0.548;0.005;0.872;0.663;2.088
2025-07-01 08:15:00+00:00;25.846;0.592;40.313;33.249;0.611;0.014;0.953;0.786;2.364
2025-07-01 08:30:00+00:00;25.901;0.193;41.892;32.014;0.805;0.006;1.302;0.995;3.108
2025-07-01 08:45:00+00:00;27.019;0.119;40.647;32.215;0.91;0.004;1.369;1.085;3.368
2025-07-01 09:00:00+00:00;27.332;0.115;40.252;32.301;0.715;0.003;1.053;0.845;2.6159999999999997
2025-07-01 09:15:00+00:00;28.217;0.111;39.053;32.618;0.763;0.003;1.056;0.882;2.704
2025-07-01 09:30:00+00:00;27.041;0.118;41.013;31.829;0.689;0.003;1.045;0.811;2.548
2025-07-01 09:45:00+00:00;31.056;0.123;42.39;26.432;0.759;0.003;1.036;0.646;2.444
2025-07-01 10:00:00+00:00;35.598;0.111;37.112;27.179;0.964;0.003;1.005;0.736;2.7079999999999997
2025-07-01 10:15:00+00:00;37.5;0.112;36.754;25.634;1.005;0.003;0.985;0.687;2.6799999999999997
2025-07-01 10:30:00+00:00;36.98;0.085;34.69;28.244;1.744;0.004;1.636;1.332;4.716
2025-07-01 10:45:00+00:00;36.887;0.0;33.811;29.302;2.135;0.0;1.957;1.696;5.787999999999999
2025-07-01 11:00:00+00:00;37.538;0.105;33.088;29.269;2.497;0.007;2.201;1.947;6.651999999999999
2025-07-01 11:15:00+00:00;39.33;0.255;34.414;26.001;2.16;0.014;1.89;1.428;5.492
2025-07-01 11:30:00+00:00;41.773;0.034;35.013;23.179;2.478;0.002;2.077;1.375;5.932
2025-07-01 11:45:00+00:00;38.625;0.299;32.489;28.586;2.197;0.017;1.848;1.626;5.688
2025-07-01 12:00:00+00:00;40.76;0.241;33.049;25.95;2.532;0.015;2.053;1.612;6.212
2025-07-01 12:15:00+00:00;41.199;0.065;33.879;24.857;3.169;0.005;2.606;1.912;7.692
2025-07-01 12:30:00+00:00;42.234;0.098;32.167;25.502;3.029;0.007;2.307;1.829;7.172
2025-07-01 12:45:00+00:00;43.778;0.0;31.47;24.752;3.532;0.0;2.539;1.997;8.068
2025-07-01 13:00:00+00:00;43.213;0.0;32.21;24.577;2.859;0.0;2.131;1.626;6.616
2025-07-01 13:15:00+00:00;45.327;0.57;30.281;23.822;2.386;0.03;1.594;1.254;5.264
2025-07-01 13:30:00+00:00;47.913;1.092;31.311;19.684;1.974;0.045;1.29;0.811;4.12
2025-07-01 13:45:00+00:00;49.2;0.096;27.881;22.823;1.537;0.003;0.871;0.713;3.1239999999999997
2025-07-01 14:00:00+00:00;51.277;0.163;27.201;21.359;1.887;0.006;1.001;0.786;3.6799999999999997
2025-07-01 14:15:00+00:00;51.881;0.138;26.991;20.99;1.876;0.005;0.976;0.759;3.6159999999999997
2025-07-01 14:30:00+00:00;54.19;0.208;26.713;18.889;2.341;0.009;1.154;0.816;4.32
2025-07-01 14:45:00+00:00;57.385;0.299;24.622;17.695;2.883;0.015;1.237;0.889;5.024
2025-07-01 15:00:00+00:00;60.69;0.333;23.571;15.405;2.549;0.014;0.99;0.647;4.2
2025-07-01 15:15:00+00:00;65.899;0.258;23.293;10.551;4.091;0.016;1.446;0.655;6.208
2025-07-01 15:30:00+00:00;68.858;0.308;19.269;11.565;3.352;0.015;0.938;0.563;4.867999999999999
