startedAt;prod1-1:2.29.0;source;prod1-65:2.29.1;prod1-65:2.29.2;prod1-65:2.29.3;prod1-65:2.29.9
2025-04-01 17:15:00+00:00;0.184;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 17:30:00+00:00;0.112;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 17:45:00+00:00;0.04;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 18:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 18:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 18:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 18:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 19:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 19:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 19:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 19:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 20:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 20:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 20:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 20:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 21:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 21:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 21:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 21:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 22:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 22:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 22:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 22:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 23:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 23:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 23:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-01 23:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 00:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 00:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 00:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 00:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 01:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 01:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 01:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 01:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 02:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 02:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
