startedAt;percentage_cons;valuecons;total_sum_cons;percentage_prod;valueprod;total_sum_prod;cons_vs_prod;cons_vs_prod_limit;max_possible_cons_tot;total_to_be_paid;community_power_used-Marie-Anne;power_used_by_community;has_to_pay-Marie-Anne;power_sold_to_grid;has_to_receive-Madalin
;df-cons-Marie-Anne;df-cons-Marie-Anne;;df-prod-Madalin;df-prod-Madalin;;;;;;;;;;
2025-05-28 10:45:00+00:00;100.0;0.116;0.116;100.0;0.116;0.116;100.0;100.0;0.116;0.00319;0.116;0.116;0.00319;0.0;0.00319
2025-05-28 11:00:00+00:00;100.0;0.108;0.108;100.0;0.108;0.108;100.0;100.0;0.108;0.00297;0.108;0.108;0.00297;0.0;0.00297
2025-05-28 11:15:00+00:00;100.0;0.092;0.092;100.0;0.092;0.092;100.0;100.0;0.092;0.00253;0.092;0.092;0.00253;0.0;0.00253
2025-05-28 11:30:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 11:45:00+00:00;100.0;0.136;0.136;100.0;0.136;0.136;100.0;100.0;0.136;0.0037400000000000003;0.136;0.136;0.0037400000000000003;0.0;0.0037400000000000003
2025-05-28 12:00:00+00:00;100.0;0.172;0.172;100.0;0.172;0.172;100.0;100.0;0.172;0.00473;0.172;0.172;0.00473;0.0;0.00473
2025-05-28 12:15:00+00:00;100.0;0.1;0.1;100.0;0.1;0.1;100.0;100.0;0.1;0.0027500000000000003;0.1;0.1;0.0027500000000000003;0.0;0.0027500000000000003
2025-05-28 12:30:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 12:45:00+00:00;100.0;0.084;0.084;100.0;0.084;0.084;100.0;100.0;0.084;0.00231;0.084;0.084;0.00231;0.0;0.00231
2025-05-28 13:00:00+00:00;100.0;0.132;0.132;100.0;0.132;0.132;100.0;100.0;0.132;0.00363;0.132;0.132;0.00363;0.0;0.00363
2025-05-28 13:15:00+00:00;100.0;0.112;0.112;100.0;0.112;0.112;100.0;100.0;0.112;0.0030800000000000003;0.112;0.112;0.0030800000000000003;0.0;0.0030800000000000003
2025-05-28 13:30:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 13:45:00+00:00;100.0;0.128;0.128;100.0;0.128;0.128;100.0;100.0;0.128;0.00352;0.128;0.128;0.00352;0.0;0.00352
2025-05-28 14:00:00+00:00;100.0;0.104;0.104;100.0;0.104;0.104;100.0;100.0;0.104;0.0028599999999999997;0.104;0.104;0.0028599999999999997;0.0;0.0028599999999999997
2025-05-28 14:15:00+00:00;100.0;0.132;0.132;100.0;0.132;0.132;100.0;100.0;0.132;0.00363;0.132;0.132;0.00363;0.0;0.00363
