startedAt;percentage_cons;percentage_cons;valuecons;valuecons;total_sum_cons
;df-cons-Jessica;df-cons-Sebastien;df-cons-Jessica;df-cons-Sebastien;
2025-06-18 22:00:00+00:00;;;0.0;0.0;0.0
2025-06-18 22:15:00+00:00;;;0.0;0.0;0.0
2025-06-18 22:30:00+00:00;;;0.0;0.0;0.0
2025-06-18 22:45:00+00:00;;;0.0;0.0;0.0
2025-06-18 23:00:00+00:00;;;0.0;0.0;0.0
2025-06-18 23:15:00+00:00;;;0.0;0.0;0.0
2025-06-18 23:30:00+00:00;;;0.0;0.0;0.0
2025-06-18 23:45:00+00:00;;;0.0;0.0;0.0
2025-06-19 00:00:00+00:00;;;0.0;0.0;0.0
2025-06-19 00:15:00+00:00;;;0.0;0.0;0.0
2025-06-19 00:30:00+00:00;;;0.0;0.0;0.0
2025-06-19 00:45:00+00:00;;;0.0;0.0;0.0
2025-06-19 01:00:00+00:00;;;0.0;0.0;0.0
2025-06-19 01:15:00+00:00;;;0.0;0.0;0.0
2025-06-19 01:30:00+00:00;;;0.0;0.0;0.0
2025-06-19 01:45:00+00:00;;;0.0;0.0;0.0
2025-06-19 02:00:00+00:00;;;0.0;0.0;0.0
2025-06-19 02:15:00+00:00;;;0.0;0.0;0.0
2025-06-19 02:30:00+00:00;;;0.0;0.0;0.0
2025-06-19 02:45:00+00:00;;;0.0;0.0;0.0
2025-06-19 03:00:00+00:00;;;0.0;0.0;0.0
2025-06-19 03:15:00+00:00;;;0.0;0.0;0.0
2025-06-19 03:30:00+00:00;;;0.0;0.0;0.0
2025-06-19 03:45:00+00:00;;;0.0;0.0;0.0
2025-06-19 04:00:00+00:00;;;0.0;0.0;0.0
2025-06-19 04:15:00+00:00;;;0.0;0.0;0.0
2025-06-19 04:30:00+00:00;;;0.0;0.0;0.0
2025-06-19 04:45:00+00:00;;;0.0;0.0;0.0
2025-06-19 05:00:00+00:00;;;0.0;0.0;0.0
2025-06-19 05:15:00+00:00;51.852;48.148;0.112;0.104;0.216
2025-06-19 05:30:00+00:00;58.571;41.429;0.164;0.116;0.28
2025-06-19 05:45:00+00:00;57.576;42.424;0.152;0.112;0.264
2025-06-19 06:00:00+00:00;60.938;39.062;0.156;0.1;0.256
2025-06-19 06:15:00+00:00;63.415;36.585;0.104;0.06;0.16399999999999998
2025-06-19 06:30:00+00:00;43.478;56.522;0.08;0.104;0.184
2025-06-19 06:45:00+00:00;39.13;60.87;0.072;0.112;0.184
2025-06-19 07:00:00+00:00;50.0;50.0;0.116;0.116;0.232
2025-06-19 07:15:00+00:00;61.194;38.806;0.164;0.104;0.268
2025-06-19 07:30:00+00:00;90.909;9.091;0.56;0.056;0.6160000000000001
2025-06-19 07:45:00+00:00;69.318;30.682;0.244;0.108;0.352
2025-06-19 08:00:00+00:00;71.134;28.866;0.276;0.112;0.388
2025-06-19 08:15:00+00:00;45.614;54.386;0.104;0.124;0.22799999999999998
2025-06-19 08:30:00+00:00;53.061;46.939;0.104;0.092;0.196
2025-06-19 08:45:00+00:00;65.789;34.211;0.1;0.052;0.152
2025-06-19 09:00:00+00:00;40.816;59.184;0.08;0.116;0.196
2025-06-19 09:15:00+00:00;57.746;42.254;0.164;0.12;0.28400000000000003
2025-06-19 09:30:00+00:00;57.143;42.857;0.16;0.12;0.28
2025-06-19 09:45:00+00:00;68.421;31.579;0.156;0.072;0.22799999999999998
2025-06-19 10:00:00+00:00;67.347;32.653;0.132;0.064;0.196
2025-06-19 10:15:00+00:00;39.216;60.784;0.08;0.124;0.20400000000000001
2025-06-19 10:30:00+00:00;43.137;56.863;0.088;0.116;0.20400000000000001
2025-06-19 10:45:00+00:00;42.857;57.143;0.084;0.112;0.196
2025-06-19 11:00:00+00:00;94.366;5.634;1.072;0.064;1.1360000000000001
2025-06-19 11:15:00+00:00;88.947;11.053;0.676;0.084;0.76
2025-06-19 11:30:00+00:00;60.0;40.0;0.18;0.12;0.3
2025-06-19 11:45:00+00:00;61.111;38.889;0.176;0.112;0.288
2025-06-19 12:00:00+00:00;60.563;39.437;0.172;0.112;0.284
2025-06-19 12:15:00+00:00;68.75;31.25;0.132;0.06;0.192
2025-06-19 12:30:00+00:00;55.556;44.444;0.12;0.096;0.216
2025-06-19 12:45:00+00:00;55.556;44.444;0.14;0.112;0.252
2025-06-19 13:00:00+00:00;52.459;47.541;0.128;0.116;0.244
2025-06-19 13:15:00+00:00;68.605;31.395;0.236;0.108;0.344
2025-06-19 13:30:00+00:00;81.818;18.182;0.252;0.056;0.308
2025-06-19 13:45:00+00:00;67.901;32.099;0.22;0.104;0.324
2025-06-19 14:00:00+00:00;72.277;27.723;0.292;0.112;0.40399999999999997
2025-06-19 14:15:00+00:00;56.338;43.662;0.16;0.124;0.28400000000000003
2025-06-19 14:30:00+00:00;45.0;55.0;0.072;0.088;0.15999999999999998
2025-06-19 14:45:00+00:00;54.545;45.455;0.072;0.06;0.132
2025-06-19 15:00:00+00:00;39.13;60.87;0.072;0.112;0.184
2025-06-19 15:15:00+00:00;64.368;35.632;0.224;0.124;0.348
2025-06-19 15:30:00+00:00;86.574;13.426;0.748;0.116;0.864
2025-06-19 15:45:00+00:00;91.176;8.824;0.744;0.072;0.816
2025-06-19 16:00:00+00:00;92.105;7.895;0.84;0.072;0.9119999999999999
2025-06-19 16:15:00+00:00;85.366;14.634;0.7;0.12;0.82
2025-06-19 16:30:00+00:00;86.872;13.128;0.622;0.094;0.716
2025-06-19 16:45:00+00:00;83.133;16.867;0.552;0.112;0.664
2025-06-19 17:00:00+00:00;82.143;17.857;0.276;0.06;0.336
2025-06-19 17:15:00+00:00;47.727;52.273;0.084;0.092;0.176
2025-06-19 17:30:00+00:00;85.119;14.881;0.143;0.025;0.16799999999999998
2025-06-19 17:45:00+00:00;;;0.0;0.0;0.0
2025-06-19 18:00:00+00:00;;;0.0;0.0;0.0
2025-06-19 18:15:00+00:00;;;0.0;0.0;0.0
2025-06-19 18:30:00+00:00;;;0.0;0.0;0.0
2025-06-19 18:45:00+00:00;;;0.0;0.0;0.0
2025-06-19 19:00:00+00:00;;;0.0;0.0;0.0
2025-06-19 19:15:00+00:00;;;0.0;0.0;0.0
