startedAt;percentage_cons;percentage_cons;percentage_cons;percentage_cons;valuecons;valuecons;valuecons;valuecons;total_sum_cons
;df-cons-Christian;df-cons-Marc;df-cons-Reinhilde;df-cons-Véronique;df-cons-Christian;df-cons-Marc;df-cons-Reinhilde;df-cons-Véronique;
2025-02-01 00:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.36;0.0;0.36
2025-02-01 00:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.372;0.0;0.372
2025-02-01 00:30:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.26;0.0;0.26
2025-02-01 00:45:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.308;0.0;0.308
2025-02-01 01:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.288;0.0;0.288
2025-02-01 01:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.384;0.0;0.384
2025-02-01 01:30:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.308;0.0;0.308
2025-02-01 01:45:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.444;0.0;0.444
2025-02-01 02:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.452;0.0;0.452
2025-02-01 02:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.464;0.0;0.464
2025-02-01 02:30:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.4;0.0;0.4
2025-02-01 02:45:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.324;0.0;0.324
2025-02-01 03:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.332;0.0;0.332
2025-02-01 03:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.504;0.0;0.504
2025-02-01 03:30:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.436;0.0;0.436
2025-02-01 03:45:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.4;0.0;0.4
2025-02-01 04:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.536;0.0;0.536
2025-02-01 04:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.572;0.0;0.572
2025-02-01 04:30:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.492;0.0;0.492
2025-02-01 04:45:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.348;0.0;0.348
2025-02-01 05:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.436;0.0;0.436
2025-02-01 05:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.436;0.0;0.436
2025-02-01 05:30:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.372;0.0;0.372
2025-02-01 05:45:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.436;0.0;0.436
2025-02-01 06:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.34;0.0;0.34
2025-02-01 06:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.348;0.0;0.348
2025-02-01 06:30:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.416;0.0;0.416
2025-02-01 06:45:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.292;0.0;0.292
2025-02-01 07:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.2;0.0;0.2
2025-02-01 07:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.204;0.0;0.204
2025-02-01 07:30:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.32;0.0;0.32
2025-02-01 07:45:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.18;0.0;0.18
2025-02-01 08:00:00+00:00;25.625;31.042;43.333;0.0;0.123;0.149;0.208;0.0;0.48
2025-02-01 08:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.0;0.176;0.0;0.176
2025-02-01 08:30:00+00:00;29.795;48.288;21.918;0.0;0.609;0.987;0.448;0.0;2.044
2025-02-01 08:45:00+00:00;48.756;21.891;29.353;0.0;0.392;0.176;0.236;0.0;0.804
2025-02-01 09:00:00+00:00;29.622;52.148;18.229;0.0;0.455;0.801;0.28;0.0;1.536
2025-02-01 09:15:00+00:00;29.027;62.92;8.053;0.0;1.312;2.844;0.364;0.0;4.5200000000000005
2025-02-01 09:30:00+00:00;44.615;42.657;12.727;0.0;1.276;1.22;0.364;0.0;2.86
2025-02-01 09:45:00+00:00;37.592;28.217;34.191;0.0;0.409;0.307;0.372;0.0;1.088
2025-02-01 10:00:00+00:00;44.676;50.452;4.871;0.0;2.568;2.9;0.28;0.0;5.748
2025-02-01 10:15:00+00:00;37.464;42.075;20.461;0.0;0.52;0.584;0.284;0.0;1.388
2025-02-01 10:30:00+00:00;19.629;49.121;31.25;0.0;0.201;0.503;0.32;0.0;1.024
