startedAt;percentage_cons;percentage_cons;percentage_cons;valuecons;valuecons;valuecons;total_sum_cons;percentage_prod;percentage_prod;valueprod;valueprod;total_sum_prod;cons_vs_prod;cons_vs_prod_limit;max_possible_cons_tot;total_to_be_paid;community_power_used-Véronique;power_used_by_community;has_to_pay-Véronique;community_power_used-Christian;has_to_pay-Christian;community_power_used-Marc;has_to_pay-Marc;power_sold_to_grid;has_to_receive-Véronique;has_to_receive-Marc;sun_visible
;df-cons-Christian;df-cons-Marc;df-cons-Véronique;df-cons-Christian;df-cons-Marc;df-cons-Véronique;;df-prod-Marc;df-prod-Véronique;df-prod-Marc;df-prod-Véronique;;;;;;;;;;;;;;;;
2025-01-21 09:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-21 10:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-21 10:15:00+00:00;30.0;5.0;65.0;0.018;0.003;0.039;0.06;100.0;0.0;0.06;0.0;0.06;100.0;100.0;0.06;0.00165;0.039;0.06;0.0010725;0.018;0.000495;0.003;8.25e-05;0.0;0.0;0.00165;True
2025-01-21 10:30:00+00:00;25.0;50.0;25.0;0.001;0.002;0.001;0.004;100.0;0.0;0.004;0.0;0.004;100.0;100.0;0.004;0.00011;0.001;0.004;2.75e-05;0.001;2.75e-05;0.002;5.5e-05;0.0;0.0;0.00011;True
2025-01-21 10:45:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-21 11:00:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-21 11:15:00+00:00;41.667;8.333;50.0;0.005;0.001;0.006;0.012;100.0;0.0;0.012;0.0;0.012;100.0;100.0;0.012;0.00033;0.006;0.012;0.000165;0.005000040000000001;0.0001375011;0.00099996;2.7498900000000002e-05;0.0;0.0;0.00033;True
2025-01-21 11:30:00+00:00;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;True
2025-01-21 11:45:00+00:00;33.929;32.143;33.929;0.019;0.018;0.019;0.055999999999999994;100.0;0.0;0.056;0.0;0.056;100.0;100.0;0.055999999999999994;0.00154;0.01900024;0.056000560000000005;0.0005225066;0.01900024;0.0005225066;0.018000079999999998;0.0004950022;-5.600000000036132e-07;0.0;0.00154;True
2025-01-21 12:00:00+00:00;41.429;1.429;57.143;0.058;0.002;0.08;0.14;100.0;0.0;0.14;0.0;0.14;100.0;100.0;0.14;0.0038500000000000006;0.08000020000000001;0.14000140000000003;0.0022000055000000003;0.05800060000000001;0.0015950165000000005;0.0020006000000000004;5.501650000000001e-05;-1.4000000000125024e-06;0.0;0.0038500000000000006;True
