Libelle;Value
Groupe de partage;CR00006041
Year;2025
Mois;6
total production;3638.53
total consommation;1723.94
total auto consommation self;305.36
total auto consommation résidentiel;241.1
total auto consommation;546.47
total consommation local;583.45
total purchased;636.49
total sold to provider;1712.92
