startedAt;valueprodauto;valueprodauto
;df-prod-Gaby;df-prod-Véronique
2025-04-02 07:30:00+00:00;0.836;0.26
2025-04-02 07:45:00+00:00;1.076;0.256
2025-04-02 08:00:00+00:00;2.024;4.612
2025-04-02 08:15:00+00:00;2.692;3.156
2025-04-02 08:30:00+00:00;2.428;0.268
2025-04-02 08:45:00+00:00;0.72;0.26
2025-04-02 09:00:00+00:00;0.848;0.26
2025-04-02 09:15:00+00:00;0.876;1.116
2025-04-02 09:30:00+00:00;0.968;7.016
2025-04-02 09:45:00+00:00;0.996;1.512
2025-04-02 10:00:00+00:00;1.228;1.328
2025-04-02 10:15:00+00:00;1.156;0.336
2025-04-02 10:30:00+00:00;1.528;0.336
2025-04-02 10:45:00+00:00;1.404;0.284
2025-04-02 11:00:00+00:00;0.44;1.156
2025-04-02 11:15:00+00:00;0.292;1.828
2025-04-02 11:30:00+00:00;0.348;0.292
2025-04-02 11:45:00+00:00;0.552;0.272
2025-04-02 12:00:00+00:00;0.704;0.248
2025-04-02 12:15:00+00:00;0.256;0.24
2025-04-02 12:30:00+00:00;0.308;0.284
2025-04-02 12:45:00+00:00;0.512;0.276
2025-04-02 13:00:00+00:00;0.856;0.26
2025-04-02 13:15:00+00:00;0.628;0.252
2025-04-02 13:30:00+00:00;0.656;0.312
2025-04-02 13:45:00+00:00;0.6;0.272
2025-04-02 14:00:00+00:00;0.472;0.26
2025-04-02 14:15:00+00:00;0.628;0.264
2025-04-02 14:30:00+00:00;0.472;0.736
2025-04-02 14:45:00+00:00;0.788;0.804
2025-04-02 15:00:00+00:00;0.756;0.296
2025-04-02 15:15:00+00:00;0.356;0.296
2025-04-02 15:30:00+00:00;0.428;0.28
2025-04-02 15:45:00+00:00;0.792;0.328
2025-04-02 16:00:00+00:00;0.876;0.304
2025-04-02 16:15:00+00:00;1.044;0.304
2025-04-02 16:30:00+00:00;0.756;0.348
2025-04-02 16:45:00+00:00;0.432;0.288
2025-04-02 17:00:00+00:00;0.504;0.248
2025-04-02 17:15:00+00:00;0.592;0.192
2025-04-02 17:30:00+00:00;0.532;0.128
2025-04-02 17:45:00+00:00;0.028;0.056
2025-04-02 18:00:00+00:00;0.0;0.004
2025-04-02 18:15:00+00:00;0.0;0.0
2025-04-02 18:30:00+00:00;0.0;0.0
2025-04-02 18:45:00+00:00;0.0;0.0
2025-04-02 19:00:00+00:00;0.0;0.0
2025-04-02 19:15:00+00:00;0.0;0.0
2025-04-02 19:30:00+00:00;0.0;0.0
2025-04-02 19:45:00+00:00;0.0;0.0
2025-04-02 20:00:00+00:00;0.0;0.0
2025-04-02 20:15:00+00:00;0.0;0.0
