Libelle;Value
Groupe de partage;CR00006750
Year;2025
Mois;6
total production;5146.37
total consommation;342.64
total auto consommation self;326.48
total auto consommation résidentiel;282.14
total auto consommation;608.63
total consommation local;926.8
total purchased;46.69
total sold to provider;2785.65
