startedAt;valueprodauto;source
2025-04-02 01:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 01:45:00+00:00;0.0;df-prod-Véronique
2025-04-02 02:00:00+00:00;0.0;df-prod-Véronique
2025-04-02 02:15:00+00:00;0.0;df-prod-Véronique
2025-04-02 02:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 02:45:00+00:00;0.0;df-prod-Véronique
2025-04-02 03:00:00+00:00;0.0;df-prod-Véronique
2025-04-02 03:15:00+00:00;0.0;df-prod-Véronique
2025-04-02 03:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 03:45:00+00:00;0.0;df-prod-Véronique
2025-04-02 04:00:00+00:00;0.0;df-prod-Véronique
2025-04-02 04:15:00+00:00;0.0;df-prod-Véronique
2025-04-02 04:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 04:45:00+00:00;0.0;df-prod-Véronique
2025-04-02 05:00:00+00:00;0.0;df-prod-Véronique
2025-04-02 05:15:00+00:00;0.192;df-prod-Véronique
2025-04-02 05:30:00+00:00;0.672;df-prod-Véronique
2025-04-02 05:45:00+00:00;0.224;df-prod-Véronique
2025-04-02 06:00:00+00:00;0.244;df-prod-Véronique
2025-04-02 06:15:00+00:00;0.24;df-prod-Véronique
2025-04-02 06:30:00+00:00;0.22;df-prod-Véronique
2025-04-02 06:45:00+00:00;3.44;df-prod-Véronique
2025-04-02 07:00:00+00:00;2.696;df-prod-Véronique
2025-04-02 07:15:00+00:00;0.26;df-prod-Véronique
2025-04-02 07:30:00+00:00;0.26;df-prod-Véronique
2025-04-02 07:45:00+00:00;0.256;df-prod-Véronique
2025-04-02 08:00:00+00:00;4.612;df-prod-Véronique
2025-04-02 08:15:00+00:00;3.156;df-prod-Véronique
2025-04-02 08:30:00+00:00;0.268;df-prod-Véronique
2025-04-02 08:45:00+00:00;0.26;df-prod-Véronique
2025-04-02 09:00:00+00:00;0.26;df-prod-Véronique
2025-04-02 09:15:00+00:00;1.116;df-prod-Véronique
2025-04-02 09:30:00+00:00;7.016;df-prod-Véronique
2025-04-02 09:45:00+00:00;1.512;df-prod-Véronique
2025-04-02 10:00:00+00:00;1.328;df-prod-Véronique
2025-04-02 10:15:00+00:00;0.336;df-prod-Véronique
2025-04-02 10:30:00+00:00;0.336;df-prod-Véronique
2025-04-02 10:45:00+00:00;0.284;df-prod-Véronique
2025-04-02 11:00:00+00:00;1.156;df-prod-Véronique
2025-04-02 11:15:00+00:00;1.828;df-prod-Véronique
2025-04-02 11:30:00+00:00;0.292;df-prod-Véronique
2025-04-02 11:45:00+00:00;0.272;df-prod-Véronique
2025-04-02 12:00:00+00:00;0.248;df-prod-Véronique
2025-04-02 12:15:00+00:00;0.24;df-prod-Véronique
2025-04-02 12:30:00+00:00;0.284;df-prod-Véronique
2025-04-02 12:45:00+00:00;0.276;df-prod-Véronique
2025-04-02 13:00:00+00:00;0.26;df-prod-Véronique
2025-04-02 13:15:00+00:00;0.252;df-prod-Véronique
2025-04-02 13:30:00+00:00;0.312;df-prod-Véronique
2025-04-02 13:45:00+00:00;0.272;df-prod-Véronique
2025-04-02 14:00:00+00:00;0.26;df-prod-Véronique
2025-04-02 14:15:00+00:00;0.264;df-prod-Véronique
2025-04-02 14:30:00+00:00;0.736;df-prod-Véronique
2025-04-02 14:45:00+00:00;0.804;df-prod-Véronique
2025-04-02 15:00:00+00:00;0.296;df-prod-Véronique
2025-04-02 15:15:00+00:00;0.296;df-prod-Véronique
2025-04-02 15:30:00+00:00;0.28;df-prod-Véronique
2025-04-02 15:45:00+00:00;0.328;df-prod-Véronique
2025-04-02 16:00:00+00:00;0.304;df-prod-Véronique
2025-04-02 16:15:00+00:00;0.304;df-prod-Véronique
2025-04-02 16:30:00+00:00;0.348;df-prod-Véronique
2025-04-02 16:45:00+00:00;0.288;df-prod-Véronique
2025-04-02 17:00:00+00:00;0.248;df-prod-Véronique
