startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodauto;valueprodauto;valueprodshared;valueprodshared
;df-prod-Gaby_Prod;df-prod-MarcSud;df-prod-Véronique-Prod;df-prod-Gaby-Autocons;df-prod-Véronique-Autocons;df-prod-Gaby-Comm;df-prod-Véronique-Comm
2025-03-01 19:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 19:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 20:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 20:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 20:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 20:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 21:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 21:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 21:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 21:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 22:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 22:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 22:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 22:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 23:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 23:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 23:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-01 23:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 00:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 00:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 00:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 00:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 01:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 01:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 01:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 01:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 02:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 02:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 02:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 02:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 03:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 03:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 03:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 03:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 04:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 04:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 04:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 04:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 05:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 05:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 05:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 05:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 06:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 06:15:00+00:00;0.0;0.036;0.184;;0.184;;0.0
2025-03-02 06:30:00+00:00;0.0;0.464;1.044;;1.044;;0.0
2025-03-02 06:45:00+00:00;0.0;0.684;1.22;;1.22;;0.0
2025-03-02 07:00:00+00:00;0.024;1.3;2.16;;2.16;;0.0
2025-03-02 07:15:00+00:00;0.2;1.656;2.648;;2.648;;0.0
2025-03-02 07:30:00+00:00;0.588;2.2;3.408;;3.408;;0.0
2025-03-02 07:45:00+00:00;0.94;2.608;4.012;;4.012;;0.0
2025-03-02 08:00:00+00:00;1.32;2.624;3.936;;3.936;;0.0
2025-03-02 08:15:00+00:00;2.28;3.508;5.084;;5.084;;0.0
2025-03-02 08:30:00+00:00;2.532;3.36;4.764;;4.764;;0.0
2025-03-02 08:45:00+00:00;2.616;2.908;4.12;;4.12;;0.0
2025-03-02 09:00:00+00:00;4.4;4.532;6.232;;6.232;;0.0
2025-03-02 09:15:00+00:00;4.488;4.296;5.86;;5.86;;0.0
2025-03-02 09:30:00+00:00;4.78;4.332;5.764;;5.764;;0.0
2025-03-02 09:45:00+00:00;6.0;4.956;6.644;;5.368;;1.276
2025-03-02 10:00:00+00:00;6.848;5.328;7.076;;5.404;;1.672
2025-03-02 10:15:00+00:00;7.144;5.284;7.0;;5.356;;1.644
2025-03-02 10:30:00+00:00;7.708;5.42;7.136;;5.332;;1.804
2025-03-02 10:45:00+00:00;8.112;5.496;7.148;;7.148;;0.0
2025-03-02 11:00:00+00:00;8.088;5.268;6.848;;1.248;;5.6
2025-03-02 11:15:00+00:00;8.676;5.432;7.008;;0.3;;6.708
2025-03-02 11:30:00+00:00;9.056;5.468;7.032;;0.44;;4.912
2025-03-02 11:45:00+00:00;9.296;5.416;6.92;;0.432;;4.732
2025-03-02 12:00:00+00:00;9.4;5.268;6.732;;4.564;;2.168
2025-03-02 12:15:00+00:00;9.58;5.176;6.612;;2.788;;3.824
2025-03-02 12:30:00+00:00;9.516;4.976;6.324;;0.26;;5.056
2025-03-02 12:45:00+00:00;9.568;4.784;6.052;;0.264;;5.788
2025-03-02 13:00:00+00:00;9.532;4.588;5.744;;0.272;;5.472
2025-03-02 13:15:00+00:00;9.428;4.352;5.388;;0.276;;4.18
2025-03-02 13:30:00+00:00;9.296;4.076;5.02;;0.268;;4.752
2025-03-02 13:45:00+00:00;9.072;3.784;4.616;;2.984;;1.632
2025-03-02 14:00:00+00:00;8.828;3.464;3.964;;3.964;;0.0
2025-03-02 14:15:00+00:00;8.468;3.124;3.476;;0.264;;3.212
2025-03-02 14:30:00+00:00;8.124;2.772;2.952;;0.268;;2.684
2025-03-02 14:45:00+00:00;7.804;2.416;2.356;;0.268;;2.088
2025-03-02 15:00:00+00:00;7.324;2.028;1.756;;0.256;;1.5
2025-03-02 15:15:00+00:00;6.732;1.62;1.308;;0.996;;0.312
2025-03-02 15:30:00+00:00;6.116;1.244;0.896;;0.896;;0.0
2025-03-02 15:45:00+00:00;5.436;0.872;0.54;;0.252;;0.288
2025-03-02 16:00:00+00:00;4.664;0.544;0.32;;0.288;;0.032
2025-03-02 16:15:00+00:00;3.804;0.268;0.224;;0.224;;0.0
2025-03-02 16:30:00+00:00;2.812;0.116;0.172;;0.172;;0.0
2025-03-02 16:45:00+00:00;1.664;0.056;0.112;;0.112;;0.0
2025-03-02 17:00:00+00:00;0.08;0.016;0.04;;0.04;;0.0
2025-03-02 17:15:00+00:00;0.0;0.0;0.004;;0.004;;0.0
2025-03-02 17:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 17:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 18:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 18:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 18:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 18:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 19:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 19:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 19:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 19:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 20:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 20:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 20:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 20:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 21:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 21:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 21:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 21:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
