startedAt,prod_Véronique_1-1:2.29.0,prod_Marc_1-1:2.29.0,prod_Gaby_1-1:2.29.0,prod_Pit_1-1:2.29.0,prod_Madalin_1-1:2.29.0,prod_Véronique_1-65:2.29.1,prod_Véronique_1-65:2.29.2,prod_Marc_1-65:2.29.2,prod_Gaby_1-65:2.29.2,prod_Pit_1-65:2.29.2,prod_Madalin_1-65:2.29.2,prod_Gaby_1-65:2.29.3,prod_Véronique_1-65:2.29.4,prod_Marc_1-65:2.29.4,prod_Gaby_1-65:2.29.4,prod_Pit_1-65:2.29.4,prod_Madalin_1-65:2.29.4,prod_Véronique_1-65:2.29.9,prod_Marc_1-65:2.29.9,prod_Gaby_1-65:2.29.9,prod_Pit_1-65:2.29.9,prod_Madalin_1-65:2.29.9,cons_Sebastien_1-1:1.29.0,cons_Jessica_1-1:1.29.0,cons_Sebastien_1-65:1.29.4,cons_Jessica_1-65:1.29.4,cons_Sebastien_1-65:1.29.8,cons_Jessica_1-65:1.29.8,cons_Sebastien_1-65:1.29.9,cons_Jessica_1-65:1.29.9,sum_1-1:2.29.0,sum_1-65:2.29.1,sum_1-65:2.29.2,sum_1-65:2.29.3,sum_1-65:2.29.4,sum_1-65:2.29.9,sum_1-1:1.29.0,sum_1-65:1.29.4,sum_1-65:1.29.8,sum_1-65:1.29.9
2025-06-01 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.12,0.16,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
2025-06-01 02:45:00+00:00,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.088,0.156,,,,,,,0.004,0.0,0.004,0.0,0.0,0.0,0.244,0.0,0.0,0.0
2025-06-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.084,0.092,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.0,0.0
2025-06-01 03:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.22,0.068,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.28800000000000003,0.0,0.0,0.0
2025-06-01 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.248,0.072,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0
2025-06-01 03:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.116,0.084,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2025-06-01 04:00:00+00:00,0.14,0.0,0.08,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.08,,,,,,0.0,0.0,,0.0,0.0,0.14,0.168,,,,,,,0.22000000000000003,0.14,0.0,0.08,0.0,0.0,0.30800000000000005,0.0,0.0,0.0
2025-06-01 04:15:00+00:00,0.032,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.128,0.16,,,,,,,0.032,0.032,0.0,0.0,0.0,0.0,0.28800000000000003,0.0,0.0,0.0
2025-06-01 04:30:00+00:00,0.084,0.0,0.012,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.012,,,,,,0.0,0.0,,0.0,0.0,0.128,0.16,,,,,,,0.096,0.084,0.0,0.012,0.0,0.0,0.28800000000000003,0.0,0.0,0.0
2025-06-01 04:45:00+00:00,0.308,0.0,0.308,0.0,0.02,0.308,0.0,0.0,0.016,0.0,0.02,0.292,,,,,,0.0,0.0,,0.0,0.0,0.132,0.092,,,,,,,0.636,0.308,0.036000000000000004,0.292,0.0,0.0,0.224,0.0,0.0,0.0
