startedAt;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;valuecons;valuecons;valuecons;valuecons;valuecons;valuecons;total_sum_cons
;df-cons-Christian;df-cons-Gaby_Hall;df-cons-Gaby_Haus;df-cons-Marc;df-cons-Reinhilde;df-cons-Véronique;df-cons-Christian;df-cons-Gaby_Hall;df-cons-Gaby_Haus;df-cons-Marc;df-cons-Reinhilde;df-cons-Véronique;
2025-05-01 00:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 00:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 00:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 00:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 01:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 01:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 01:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 01:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 02:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 02:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 02:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 02:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 03:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 03:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 03:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 03:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 04:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 04:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 04:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 04:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-01 05:00:00+00:00;3.98;0.995;34.701;43.905;16.418;0.0;0.032;0.008;0.279;0.353;0.132;0.0;0.804
2025-05-01 05:15:00+00:00;2.705;1.393;59.098;27.705;9.098;0.0;0.033;0.017;0.721;0.338;0.111;0.0;1.22
2025-05-01 05:30:00+00:00;15.835;0.998;24.501;42.082;16.584;0.0;0.254;0.016;0.393;0.675;0.266;0.0;1.604
2025-05-01 05:45:00+00:00;28.423;1.037;29.461;27.593;13.485;0.0;0.548;0.02;0.568;0.532;0.26;0.0;1.928
2025-05-01 06:00:00+00:00;21.823;2.762;26.796;26.796;21.823;0.0;0.316;0.04;0.388;0.388;0.316;0.0;1.448
2025-05-01 06:15:00+00:00;13.993;0.555;15.486;53.754;16.212;0.0;0.328;0.013;0.363;1.26;0.38;0.0;2.344
