startedAt;temperature;weather_condition;dew_point;rain;snowfall;cloud_cover
2025-01-21 18:30:00+00:00;-2.0;clear;-4.3;0.0;0.0;5
2025-01-21 18:45:00+00:00;-2.0;clear;-4.3;0.0;0.0;5
2025-01-21 19:00:00+00:00;-2.0;mainly clear;-4.1;0.0;0.0;44
2025-01-21 19:15:00+00:00;-2.0;mainly clear;-4.1;0.0;0.0;44
2025-01-21 19:30:00+00:00;-2.0;mainly clear;-4.1;0.0;0.0;44
2025-01-21 19:45:00+00:00;-2.0;mainly clear;-4.1;0.0;0.0;44
2025-01-21 20:00:00+00:00;-2.3;clear;-4.3;0.0;0.0;1
2025-01-21 20:15:00+00:00;-2.3;clear;-4.3;0.0;0.0;1
2025-01-21 20:30:00+00:00;-2.3;clear;-4.3;0.0;0.0;1
2025-01-21 20:45:00+00:00;-2.3;clear;-4.3;0.0;0.0;1
2025-01-21 21:00:00+00:00;-2.7;clear;-4.6;0.0;0.0;16
2025-01-21 21:15:00+00:00;-2.7;clear;-4.6;0.0;0.0;16
2025-01-21 21:30:00+00:00;-2.7;clear;-4.6;0.0;0.0;16
2025-01-21 21:45:00+00:00;-2.7;clear;-4.6;0.0;0.0;16
2025-01-21 22:00:00+00:00;-3.0;clear;-4.9;0.0;0.0;6
2025-01-21 22:15:00+00:00;-3.0;clear;-4.9;0.0;0.0;6
2025-01-21 22:30:00+00:00;-3.0;clear;-4.9;0.0;0.0;6
2025-01-21 22:45:00+00:00;-3.0;clear;-4.9;0.0;0.0;6
2025-01-21 23:00:00+00:00;-3.2;partly cloudy;-5.0;0.0;0.0;75
2025-01-21 23:15:00+00:00;-3.2;partly cloudy;-5.0;0.0;0.0;75
2025-01-21 23:30:00+00:00;-3.2;partly cloudy;-5.0;0.0;0.0;75
2025-01-21 23:45:00+00:00;-3.2;partly cloudy;-5.0;0.0;0.0;75
2025-01-22 00:00:00+00:00;-3.8;overcast;-5.2;0.0;0.0;100
2025-01-22 00:15:00+00:00;-3.8;overcast;-5.2;0.0;0.0;100
2025-01-22 00:30:00+00:00;-3.8;overcast;-5.2;0.0;0.0;100
2025-01-22 00:45:00+00:00;-3.8;overcast;-5.2;0.0;0.0;100
2025-01-22 01:00:00+00:00;-4.2;overcast;-5.4;0.0;0.0;100
2025-01-22 01:15:00+00:00;-4.2;overcast;-5.4;0.0;0.0;100
2025-01-22 01:30:00+00:00;-4.2;overcast;-5.4;0.0;0.0;100
2025-01-22 01:45:00+00:00;-4.2;overcast;-5.4;0.0;0.0;100
2025-01-22 02:00:00+00:00;-4.0;overcast;-5.5;0.0;0.0;100
2025-01-22 02:15:00+00:00;-4.0;overcast;-5.5;0.0;0.0;100
2025-01-22 02:30:00+00:00;-4.0;overcast;-5.5;0.0;0.0;100
2025-01-22 02:45:00+00:00;-4.0;overcast;-5.5;0.0;0.0;100
2025-01-22 03:00:00+00:00;-2.9;overcast;-4.5;0.0;0.0;100
2025-01-22 03:15:00+00:00;-2.9;overcast;-4.5;0.0;0.0;100
2025-01-22 03:30:00+00:00;-2.9;overcast;-4.5;0.0;0.0;100
2025-01-22 03:45:00+00:00;-2.9;overcast;-4.5;0.0;0.0;100
2025-01-22 04:00:00+00:00;-2.1;overcast;-3.9;0.0;0.0;100
2025-01-22 04:15:00+00:00;-2.1;overcast;-3.9;0.0;0.0;100
2025-01-22 04:30:00+00:00;-2.1;overcast;-3.9;0.0;0.0;100
2025-01-22 04:45:00+00:00;-2.1;overcast;-3.9;0.0;0.0;100
2025-01-22 05:00:00+00:00;-1.6;overcast;-3.6;0.0;0.0;100
2025-01-22 05:15:00+00:00;-1.6;overcast;-3.6;0.0;0.0;100
2025-01-22 05:30:00+00:00;-1.6;overcast;-3.6;0.0;0.0;100
2025-01-22 05:45:00+00:00;-1.6;overcast;-3.6;0.0;0.0;100
2025-01-22 06:00:00+00:00;-1.0;overcast;-3.3;0.0;0.0;100
2025-01-22 06:15:00+00:00;-1.0;overcast;-3.3;0.0;0.0;100
2025-01-22 06:30:00+00:00;-1.0;overcast;-3.3;0.0;0.0;100
2025-01-22 06:45:00+00:00;-1.0;overcast;-3.3;0.0;0.0;100
2025-01-22 07:00:00+00:00;-0.4;overcast;-3.1;0.0;0.0;100
2025-01-22 07:15:00+00:00;-0.4;overcast;-3.1;0.0;0.0;100
2025-01-22 07:30:00+00:00;-0.4;overcast;-3.1;0.0;0.0;100
2025-01-22 07:45:00+00:00;-0.4;overcast;-3.1;0.0;0.0;100
2025-01-22 08:00:00+00:00;-0.1;overcast;-3.0;0.0;0.0;100
2025-01-22 08:15:00+00:00;-0.1;overcast;-3.0;0.0;0.0;100
2025-01-22 08:30:00+00:00;-0.1;overcast;-3.0;0.0;0.0;100
2025-01-22 08:45:00+00:00;-0.1;overcast;-3.0;0.0;0.0;100
2025-01-22 09:00:00+00:00;-0.1;overcast;-3.0;0.0;0.0;97
2025-01-22 09:15:00+00:00;-0.1;overcast;-3.0;0.0;0.0;97
2025-01-22 09:30:00+00:00;-0.1;overcast;-3.0;0.0;0.0;97
2025-01-22 09:45:00+00:00;-0.1;overcast;-3.0;0.0;0.0;97
2025-01-22 10:00:00+00:00;1.4;overcast;-2.8;0.0;0.0;100
2025-01-22 10:15:00+00:00;1.4;overcast;-2.8;0.0;0.0;100
2025-01-22 10:30:00+00:00;1.4;overcast;-2.8;0.0;0.0;100
2025-01-22 10:45:00+00:00;1.4;overcast;-2.8;0.0;0.0;100
2025-01-22 11:00:00+00:00;3.4;overcast;-2.6;0.0;0.0;100
2025-01-22 11:15:00+00:00;3.4;overcast;-2.6;0.0;0.0;100
2025-01-22 11:30:00+00:00;3.4;overcast;-2.6;0.0;0.0;100
2025-01-22 11:45:00+00:00;3.4;overcast;-2.6;0.0;0.0;100
2025-01-22 12:00:00+00:00;2.7;light drizzle;-1.4;0.2;0.0;100
2025-01-22 12:15:00+00:00;2.7;light drizzle;-1.4;0.2;0.0;100
2025-01-22 12:30:00+00:00;2.7;light drizzle;-1.4;0.2;0.0;100
2025-01-22 12:45:00+00:00;2.7;light drizzle;-1.4;0.2;0.0;100
2025-01-22 13:00:00+00:00;2.7;light drizzle;-0.3;0.1;0.0;100
2025-01-22 13:15:00+00:00;2.7;light drizzle;-0.3;0.1;0.0;100
2025-01-22 13:30:00+00:00;2.7;light drizzle;-0.3;0.1;0.0;100
