startedAt;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;valuecons;valuecons;valuecons;valuecons;valuecons;valuecons;total_sum_cons;percentage_prod;percentage_prod;percentage_prod;valueprod;valueprod;valueprod;total_sum_prod;cons_vs_prod;cons_vs_prod_limit;max_possible_cons_tot;total_to_be_paid;community_power_used-Véronique;power_used_by_community;has_to_pay-Véronique;community_power_used-Christian;has_to_pay-Christian;community_power_used-Marc;has_to_pay-Marc;community_power_used-Reinhilde;has_to_pay-Reinhilde;community_power_used-Gaby_Haus;has_to_pay-Gaby_Haus;community_power_used-Gaby_Hall;has_to_pay-Gaby_Hall;power_sold_to_grid;has_to_receive-Véronique;has_to_receive-Marc;has_to_receive-Gaby
;df-cons-Christian;df-cons-Gaby_Hall;df-cons-Gaby_Haus;df-cons-Marc;df-cons-Reinhilde;df-cons-Véronique;df-cons-Christian;df-cons-Gaby_Hall;df-cons-Gaby_Haus;df-cons-Marc;df-cons-Reinhilde;df-cons-Véronique;;df-prod-Gaby;df-prod-Marc;df-prod-Véronique;df-prod-Gaby;df-prod-Marc;df-prod-Véronique;;;;;;;;;;;;;;;;;;;;;;
2025-03-01 00:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 00:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 00:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 00:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 01:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 01:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 01:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 01:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 02:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 02:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 02:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 02:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 03:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 03:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 03:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 03:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 04:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 04:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 04:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 04:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 05:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 05:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 05:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 05:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 06:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 06:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 06:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 06:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 07:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 07:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 07:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 07:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 08:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 08:15:00+00:00;41.667;;;0.0;0.0;58.333;0.005;;;0.0;0.0;0.007;0.012;;100.0;0.0;;0.012;0.0;0.012;100.0;100.0;0.012;0.00033;0.00699996;;0.0001924989;0.005000040000000001;0.0001375011;0.0;0.0;0.0;0.0;;;;;;0.0;0.00033;
2025-03-01 08:30:00+00:00;15.0;;;10.0;3.333;71.667;0.009;;;0.006;0.002;0.043;0.06;;100.0;0.0;;0.06;0.0;0.06;100.0;100.0;0.06;0.00165;0.0430002;;0.0011825055;0.009;0.0002475;0.006;0.000165;0.0019998;5.49945e-05;;;;;;0.0;0.00165;
2025-03-01 08:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 09:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 09:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 09:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 09:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 10:00:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 10:15:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 10:30:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
2025-03-01 10:45:00+00:00;;;;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
