startedAt;valueprodnet;valueprodnet;valueprodnet
;df-prod-Gaby;df-prod-Marc;df-prod-Véronique
2025-04-01 00:00:00+00:00;0.0;0.0;0.0
2025-04-01 00:15:00+00:00;0.0;0.0;0.0
2025-04-01 00:30:00+00:00;0.0;0.0;0.0
2025-04-01 00:45:00+00:00;0.0;0.0;0.0
2025-04-01 01:00:00+00:00;0.0;0.0;0.0
2025-04-01 01:15:00+00:00;0.0;0.0;0.0
2025-04-01 01:30:00+00:00;0.0;0.0;0.0
2025-04-01 01:45:00+00:00;0.0;0.0;0.0
2025-04-01 02:00:00+00:00;0.0;0.0;0.0
2025-04-01 02:15:00+00:00;0.0;0.0;0.0
2025-04-01 02:30:00+00:00;0.0;0.0;0.0
2025-04-01 02:45:00+00:00;0.0;0.0;0.0
2025-04-01 03:00:00+00:00;0.0;0.0;0.0
2025-04-01 03:15:00+00:00;0.0;0.0;0.0
2025-04-01 03:30:00+00:00;0.0;0.0;0.0
2025-04-01 03:45:00+00:00;0.0;0.0;0.0
2025-04-01 04:00:00+00:00;0.0;0.0;0.0
2025-04-01 04:15:00+00:00;0.0;0.0;0.0
2025-04-01 04:30:00+00:00;0.0;0.0;0.0
2025-04-01 04:45:00+00:00;0.0;0.0;0.0
2025-04-01 05:00:00+00:00;0.0;0.0;0.0
2025-04-01 05:15:00+00:00;0.0;0.084;0.156
2025-04-01 05:30:00+00:00;0.0;0.34;0.664
2025-04-01 05:45:00+00:00;0.0;0.636;1.196
2025-04-01 06:00:00+00:00;0.024;1.02;1.772
2025-04-01 06:15:00+00:00;0.068;1.432;2.356
2025-04-01 06:30:00+00:00;0.132;1.84;2.908
2025-04-01 06:45:00+00:00;0.184;2.24;3.452
2025-04-01 07:00:00+00:00;0.328;2.692;4.016
2025-04-01 07:15:00+00:00;0.56;3.148;4.58
2025-04-01 07:30:00+00:00;0.84;3.556;5.064
2025-04-01 07:45:00+00:00;1.14;3.956;5.496
2025-04-01 08:00:00+00:00;1.5;4.312;5.908
2025-04-01 08:15:00+00:00;2.852;4.64;6.276
2025-04-01 08:30:00+00:00;3.436;4.932;6.62
2025-04-01 08:45:00+00:00;4.028;5.252;7.008
2025-04-01 09:00:00+00:00;4.548;5.576;7.384
2025-04-01 09:15:00+00:00;5.168;5.864;7.744
2025-04-01 09:30:00+00:00;5.968;6.372;7.976
2025-04-01 09:45:00+00:00;5.744;5.7;6.604
